event_id,window_id,vehicle_id,vehicle_model,physical_vehicle,source_file,source_trace,source_window_uid,attack_type,anomaly_score,evidence_level,local_alert,weak_signal,is_attack,gt_campaign_id,attack_family,scenario,seed,synthetic,frame_count,message_rate,burstiness,mean_inter_arrival_time,std_inter_arrival_time,can_id_entropy,most_common_can_id_ratio,payload_entropy
veh_00-w00,0,veh_00,veh_00,OCSLab_Car,/workspace/Dataset/ocslab_classic_only/DoS_dataset/DoS_dataset.csv,DoS_dataset.csv,OCSLab_Car::DoS_dataset.csv::97::test,flooding,1.0,strong_local_anomaly,1,0,1,0,flooding,strong_campaign,23,0,100.0,100.0,1.6218798548637494,0.0012458165486653,0.002020566385016,2.846045071952476,0.52,1.9743111239600903
veh_00-w01,1,veh_00,veh_00,Challenge_S,/workspace/Dataset/ocslab/0_Preliminary/0_Training/Pre_train_S_2.csv,Pre_train_S_2.csv,Challenge_S::Pre_train_S_2.csv::205::test,flooding,1.0,strong_local_anomaly,1,0,1,0,flooding,strong_campaign,23,0,100.0,100.0,0.4573218125932899,0.0002838481556285,0.0001298104103551,4.159645563962688,0.36,2.055188892398869
veh_00-w02,2,veh_00,veh_00,Challenge_S,/workspace/Dataset/ocslab/0_Preliminary/0_Training/Pre_train_S_2.csv,Pre_train_S_2.csv,Challenge_S::Pre_train_S_2.csv::261::test,flooding,1.0,strong_local_anomaly,1,0,1,0,flooding,strong_campaign,23,0,100.0,100.0,0.4171149177829487,0.0002755540789979,0.0001149381341209,4.2406672585930085,0.35,2.033294823074635
veh_00-w03,3,veh_00,veh_00,Challenge_S,/workspace/Dataset/ocslab/0_Preliminary/0_Training/Pre_train_S_2.csv,Pre_train_S_2.csv,Challenge_S::Pre_train_S_2.csv::283::test,flooding,1.0,strong_local_anomaly,1,0,1,0,flooding,strong_campaign,23,0,100.0,100.0,0.4756884398057101,0.0002887899225408,0.0001373745033735,4.107194438988651,0.36,2.047765506796819
veh_00-w04,4,veh_00,veh_00,Challenge_S,/workspace/Dataset/ocslab/0_Preliminary/0_Training/Pre_train_S_2.csv,Pre_train_S_2.csv,Challenge_S::Pre_train_S_2.csv::226::test,flooding,1.0,strong_local_anomaly,1,0,1,0,flooding,strong_campaign,23,0,100.0,100.0,0.4277426745146616,0.0002662629792184,0.0001138924665978,4.253727823523152,0.34,2.0546356137548423
veh_00-w05,5,veh_00,veh_00,Challenge_D,/workspace/Dataset/ocslab/0_Preliminary/0_Training/Pre_train_D_1.csv,Pre_train_D_1.csv,Challenge_D::Pre_train_D_1.csv::194::test,flooding,1.0,strong_local_anomaly,1,0,1,0,flooding,strong_campaign,23,0,100.0,100.0,0.3748078778175676,0.0002679872994471,0.0001004441257957,4.233118383571374,0.35,2.049668138947801
veh_00-w06,6,veh_00,veh_00,OCSLab_Car,/workspace/Dataset/ocslab_classic_only/DoS_dataset/DoS_dataset.csv,DoS_dataset.csv,OCSLab_Car::DoS_dataset.csv::330::test,flooding,1.0,strong_local_anomaly,1,0,1,0,flooding,strong_campaign,23,0,100.0,100.0,1.465999681192085,0.0017589896616309,0.0025786797491708,2.9103139737192016,0.53,2.006350311802505
veh_00-w07,7,veh_00,veh_00,Challenge_D,/workspace/Dataset/ocslab/0_Preliminary/0_Training/Pre_train_D_1.csv,Pre_train_D_1.csv,Challenge_D::Pre_train_D_1.csv::281::test,flooding,1.0,strong_local_anomaly,1,0,1,0,flooding,strong_campaign,23,0,100.0,100.0,0.3402353519224895,0.0002670914235741,9.08742847305714e-05,4.361276698537573,0.34,2.0566979240641903
veh_00-w08,8,veh_00,veh_00,Challenge_S,/workspace/Dataset/ocslab/0_Preliminary/0_Training/Pre_train_S_2.csv,Pre_train_S_2.csv,Challenge_S::Pre_train_S_2.csv::170::test,flooding,1.0,strong_local_anomaly,1,0,1,0,flooding,strong_campaign,23,0,100.0,100.0,0.3575094831288888,0.0002597558377969,9.28655328199695e-05,4.366364005177285,0.33,2.0620894974184893
veh_00-w09,9,veh_00,veh_00,Challenge_D,/workspace/Dataset/ocslab/0_Preliminary/0_Training/Pre_train_D_1.csv,Pre_train_D_1.csv,Challenge_D::Pre_train_D_1.csv::125::test,flooding,1.0,strong_local_anomaly,1,0,1,0,flooding,strong_campaign,23,0,100.0,100.0,0.3438098565149297,0.0002629395687218,9.040155920422592e-05,4.3412766985390165,0.34,2.056825287229913
