window_id,vehicle_id,attack_type,anomaly_score,ground_truth_label,descriptor_id,local_alert,cluster_id,selectively_promoted
6426,Hyundai,attack_free,0.707288,0,EVT-HYU-006426,0,4,1
7620,Hyundai,attack_free,0.760376,0,EVT-HYU-007620,0,4,1
7638,Hyundai,attack_free,0.723707,0,EVT-HYU-007638,0,4,1
7845,Hyundai,attack_free,0.761106,0,EVT-HYU-007845,0,4,1
8057,Hyundai,attack_free,0.683846,0,EVT-HYU-008057,0,4,1
11314,Hyundai,attack_free,0.558515,0,EVT-HYU-011314,0,4,1
17159,Hyundai,attack_free,0.771504,0,EVT-HYU-017159,0,4,1
17184,Hyundai,attack_free,0.788562,0,EVT-HYU-017184,0,4,1
17279,Hyundai,flooding,0.79595,1,EVT-HYU-017279,0,4,1
18991,Hyundai,flooding,0.789018,1,EVT-HYU-018991,0,4,1
19010,Hyundai,flooding,0.730366,1,EVT-HYU-019010,0,4,1
55438,Kia,attack_free,0.578726,0,EVT-KIA-055438,0,4,1
55439,Kia,attack_free,0.667067,0,EVT-KIA-055439,0,4,1
55444,Kia,attack_free,0.75954,0,EVT-KIA-055444,0,4,1
55451,Kia,attack_free,0.78155,0,EVT-KIA-055451,0,4,1
55526,Kia,attack_free,0.581055,0,EVT-KIA-055526,0,4,1
55573,Kia,attack_free,0.644081,0,EVT-KIA-055573,0,4,1
55638,Kia,attack_free,0.652945,0,EVT-KIA-055638,0,4,1
55700,Kia,attack_free,0.728891,0,EVT-KIA-055700,0,4,1
55814,Kia,attack_free,0.583834,0,EVT-KIA-055814,0,4,1
55817,Kia,attack_free,0.716572,0,EVT-KIA-055817,0,4,1
55886,Kia,attack_free,0.570237,0,EVT-KIA-055886,0,4,1
55944,Kia,attack_free,0.711764,0,EVT-KIA-055944,0,4,1
56003,Kia,attack_free,0.638296,0,EVT-KIA-056003,0,4,1
56031,Kia,attack_free,0.695989,0,EVT-KIA-056031,0,4,1
56047,Kia,attack_free,0.553486,0,EVT-KIA-056047,0,4,1
56112,Kia,attack_free,0.634315,0,EVT-KIA-056112,0,4,1
56215,Kia,attack_free,0.680965,0,EVT-KIA-056215,0,4,1
56371,Kia,attack_free,0.651292,0,EVT-KIA-056371,0,4,1
56701,Kia,attack_free,0.567383,0,EVT-KIA-056701,0,4,1
56967,Kia,attack_free,0.777644,0,EVT-KIA-056967,0,4,1
56969,Kia,attack_free,0.691707,0,EVT-KIA-056969,0,4,1
56972,Kia,attack_free,0.594877,0,EVT-KIA-056972,0,4,1
56974,Kia,attack_free,0.569937,0,EVT-KIA-056974,0,4,1
57013,Kia,attack_free,0.648287,0,EVT-KIA-057013,0,4,1
57059,Kia,attack_free,0.736403,0,EVT-KIA-057059,0,4,1
57075,Kia,attack_free,0.597055,0,EVT-KIA-057075,0,4,1
57076,Kia,attack_free,0.564078,0,EVT-KIA-057076,0,4,1
57210,Kia,attack_free,0.566331,0,EVT-KIA-057210,0,4,1
57217,Kia,attack_free,0.704102,0,EVT-KIA-057217,0,4,1
57218,Kia,attack_free,0.668344,0,EVT-KIA-057218,0,4,1
57235,Kia,attack_free,0.764648,0,EVT-KIA-057235,0,4,1
57236,Kia,attack_free,0.62793,0,EVT-KIA-057236,0,4,1
57297,Kia,attack_free,0.679838,0,EVT-KIA-057297,0,4,1
57299,Kia,attack_free,0.762846,0,EVT-KIA-057299,0,4,1
57422,Kia,attack_free,0.683894,0,EVT-KIA-057422,0,4,1
57426,Kia,attack_free,0.746845,0,EVT-KIA-057426,0,4,1
57435,Kia,attack_free,0.689979,0,EVT-KIA-057435,0,4,1
57440,Kia,attack_free,0.591872,0,EVT-KIA-057440,0,4,1
57489,Kia,attack_free,0.71552,0,EVT-KIA-057489,0,4,1
57493,Kia,attack_free,0.730093,0,EVT-KIA-057493,0,4,1
57520,Kia,attack_free,0.686448,0,EVT-KIA-057520,0,4,1
57532,Kia,attack_free,0.616662,0,EVT-KIA-057532,0,4,1
57535,Kia,attack_free,0.701097,0,EVT-KIA-057535,0,4,1
57547,Kia,attack_free,0.695463,0,EVT-KIA-057547,0,4,1
57552,Kia,attack_free,0.601638,0,EVT-KIA-057552,0,4,1
57595,Kia,attack_free,0.720628,0,EVT-KIA-057595,0,4,1
57636,Kia,attack_free,0.745267,0,EVT-KIA-057636,0,4,1
57660,Kia,attack_free,0.678335,0,EVT-KIA-057660,0,4,1
57695,Kia,attack_free,0.794321,0,EVT-KIA-057695,0,4,1
57696,Kia,attack_free,0.795072,0,EVT-KIA-057696,0,4,1
57697,Kia,attack_free,0.557242,0,EVT-KIA-057697,0,4,1
57716,Kia,attack_free,0.757212,0,EVT-KIA-057716,0,4,1
57726,Kia,attack_free,0.794847,0,EVT-KIA-057726,0,4,1
57728,Kia,attack_free,0.784781,0,EVT-KIA-057728,0,4,1
57757,Kia,attack_free,0.739333,0,EVT-KIA-057757,0,4,1
57758,Kia,attack_free,0.78448,0,EVT-KIA-057758,0,4,1
57819,Kia,attack_free,0.731596,0,EVT-KIA-057819,0,4,1
57825,Kia,attack_free,0.575947,0,EVT-KIA-057825,0,4,1
57833,Kia,attack_free,0.732873,0,EVT-KIA-057833,0,4,1
57850,Kia,attack_free,0.610126,0,EVT-KIA-057850,0,4,1
57852,Kia,attack_free,0.688026,0,EVT-KIA-057852,0,4,1
57865,Kia,attack_free,0.729342,0,EVT-KIA-057865,0,4,1
57907,Kia,attack_free,0.734225,0,EVT-KIA-057907,0,4,1
57945,Kia,attack_free,0.581731,0,EVT-KIA-057945,0,4,1
57957,Kia,attack_free,0.551232,0,EVT-KIA-057957,0,4,1
57967,Kia,attack_free,0.772311,0,EVT-KIA-057967,0,4,1
57971,Kia,attack_free,0.755784,0,EVT-KIA-057971,0,4,1
57987,Kia,attack_free,0.712966,0,EVT-KIA-057987,0,4,1
58017,Kia,attack_free,0.554237,0,EVT-KIA-058017,0,4,1
58026,Kia,attack_free,0.787485,0,EVT-KIA-058026,0,4,1
58027,Kia,attack_free,0.774038,0,EVT-KIA-058027,0,4,1
58032,Kia,attack_free,0.718675,0,EVT-KIA-058032,0,4,1
58036,Kia,attack_free,0.694937,0,EVT-KIA-058036,0,4,1
58048,Kia,attack_free,0.77802,0,EVT-KIA-058048,0,4,1
58100,Kia,attack_free,0.723257,0,EVT-KIA-058100,0,4,1
58107,Kia,attack_free,0.708083,0,EVT-KIA-058107,0,4,1
58144,Kia,attack_free,0.597356,0,EVT-KIA-058144,0,4,1
58145,Kia,attack_free,0.578275,0,EVT-KIA-058145,0,4,1
58179,Kia,attack_free,0.729492,0,EVT-KIA-058179,0,4,1
58180,Kia,attack_free,0.7971,0,EVT-KIA-058180,0,4,1
58199,Kia,attack_free,0.588116,0,EVT-KIA-058199,0,4,1
58229,Kia,attack_free,0.738957,0,EVT-KIA-058229,0,4,1
58230,Kia,attack_free,0.700346,0,EVT-KIA-058230,0,4,1
58238,Kia,attack_free,0.63131,0,EVT-KIA-058238,0,4,1
58254,Kia,attack_free,0.689078,0,EVT-KIA-058254,0,4,1
58266,Kia,attack_free,0.763371,0,EVT-KIA-058266,0,4,1
