campaign_id,attack_type,vehicle_id,window_id,anomaly_score,descriptor_id
CAMP-flooding,flooding,Chevrolet,2737,1.0,EVT-CHV-002737
CAMP-flooding,flooding,Chevrolet,2738,1.0,EVT-CHV-002738
CAMP-flooding,flooding,Chevrolet,2739,1.0,EVT-CHV-002739
CAMP-flooding,flooding,Chevrolet,2740,0.994885,EVT-CHV-002740
CAMP-flooding,flooding,Chevrolet,2741,1.0,EVT-CHV-002741
CAMP-flooding,flooding,Chevrolet,2742,1.0,EVT-CHV-002742
CAMP-flooding,flooding,Chevrolet,2743,1.0,EVT-CHV-002743
CAMP-flooding,flooding,Chevrolet,2744,1.0,EVT-CHV-002744
CAMP-flooding,flooding,Chevrolet,2745,0.987212,EVT-CHV-002745
CAMP-flooding,flooding,Chevrolet,2746,0.992693,EVT-CHV-002746
CAMP-flooding,flooding,Chevrolet,2747,0.999635,EVT-CHV-002747
CAMP-flooding,flooding,Chevrolet,2748,1.0,EVT-CHV-002748
CAMP-flooding,flooding,Chevrolet,2749,0.999635,EVT-CHV-002749
CAMP-flooding,flooding,Chevrolet,2750,1.0,EVT-CHV-002750
CAMP-flooding,flooding,Chevrolet,2751,1.0,EVT-CHV-002751
CAMP-flooding,flooding,Chevrolet,2752,1.0,EVT-CHV-002752
CAMP-flooding,flooding,Chevrolet,2753,1.0,EVT-CHV-002753
CAMP-flooding,flooding,Chevrolet,2754,0.997077,EVT-CHV-002754
CAMP-flooding,flooding,Chevrolet,2755,1.0,EVT-CHV-002755
CAMP-flooding,flooding,Chevrolet,2756,1.0,EVT-CHV-002756
CAMP-flooding,flooding,Chevrolet,2757,1.0,EVT-CHV-002757
CAMP-flooding,flooding,Chevrolet,2758,0.999635,EVT-CHV-002758
CAMP-flooding,flooding,Chevrolet,2759,0.999635,EVT-CHV-002759
CAMP-flooding,flooding,Chevrolet,2760,1.0,EVT-CHV-002760
CAMP-flooding,flooding,Chevrolet,2761,0.996712,EVT-CHV-002761
CAMP-flooding,flooding,Chevrolet,2762,1.0,EVT-CHV-002762
CAMP-flooding,flooding,Chevrolet,2763,0.996712,EVT-CHV-002763
CAMP-flooding,flooding,Chevrolet,2764,1.0,EVT-CHV-002764
CAMP-flooding,flooding,Chevrolet,2765,1.0,EVT-CHV-002765
CAMP-flooding,flooding,Chevrolet,2766,1.0,EVT-CHV-002766
CAMP-flooding,flooding,Chevrolet,2767,1.0,EVT-CHV-002767
CAMP-flooding,flooding,Chevrolet,2768,1.0,EVT-CHV-002768
CAMP-flooding,flooding,Chevrolet,2769,1.0,EVT-CHV-002769
CAMP-flooding,flooding,Chevrolet,2770,1.0,EVT-CHV-002770
CAMP-flooding,flooding,Chevrolet,2771,1.0,EVT-CHV-002771
CAMP-flooding,flooding,Chevrolet,2772,1.0,EVT-CHV-002772
CAMP-flooding,flooding,Chevrolet,2773,1.0,EVT-CHV-002773
CAMP-flooding,flooding,Chevrolet,2774,1.0,EVT-CHV-002774
CAMP-flooding,flooding,Chevrolet,2775,1.0,EVT-CHV-002775
CAMP-flooding,flooding,Chevrolet,2776,1.0,EVT-CHV-002776
CAMP-flooding,flooding,Chevrolet,2777,0.990135,EVT-CHV-002777
CAMP-flooding,flooding,Chevrolet,2778,1.0,EVT-CHV-002778
CAMP-flooding,flooding,Chevrolet,2779,1.0,EVT-CHV-002779
CAMP-flooding,flooding,Chevrolet,2780,1.0,EVT-CHV-002780
CAMP-flooding,flooding,Chevrolet,2781,1.0,EVT-CHV-002781
CAMP-flooding,flooding,Chevrolet,2782,1.0,EVT-CHV-002782
CAMP-flooding,flooding,Chevrolet,2783,1.0,EVT-CHV-002783
CAMP-flooding,flooding,Chevrolet,2784,1.0,EVT-CHV-002784
CAMP-flooding,flooding,Chevrolet,2785,1.0,EVT-CHV-002785
CAMP-flooding,flooding,Chevrolet,2786,0.999635,EVT-CHV-002786
CAMP-flooding,flooding,Chevrolet,2787,1.0,EVT-CHV-002787
CAMP-flooding,flooding,Chevrolet,2788,1.0,EVT-CHV-002788
