seed,scenario,event_id,vehicle_id,source_window_uid,gt_campaign_id,is_attack,physical_vehicle,source_trace
11,strong_campaign,atk_Hyundai_0-w00,atk_Hyundai_0,Hyundai::Fuzzy_HYUNDAI_Sonata_train.csv::Hyundai::Fuzzy_HYUNDAI_Sonata_train.csv::full_trace::878,0,1,Hyundai,Fuzzy_HYUNDAI_Sonata_train.csv
11,strong_campaign,atk_Hyundai_0-w01,atk_Hyundai_0,Hyundai::Fuzzy_HYUNDAI_Sonata_train.csv::Hyundai::Fuzzy_HYUNDAI_Sonata_train.csv::full_trace::1335,0,1,Hyundai,Fuzzy_HYUNDAI_Sonata_train.csv
11,strong_campaign,atk_Hyundai_0-w02,atk_Hyundai_0,Hyundai::Fuzzy_HYUNDAI_Sonata_train.csv::Hyundai::Fuzzy_HYUNDAI_Sonata_train.csv::full_trace::881,0,1,Hyundai,Fuzzy_HYUNDAI_Sonata_train.csv
11,strong_campaign,atk_Hyundai_0-w03,atk_Hyundai_0,Hyundai::Fuzzy_HYUNDAI_Sonata_train.csv::Hyundai::Fuzzy_HYUNDAI_Sonata_train.csv::full_trace::1446,0,1,Hyundai,Fuzzy_HYUNDAI_Sonata_train.csv
11,strong_campaign,atk_Hyundai_0-w04,atk_Hyundai_0,Hyundai::Fuzzy_HYUNDAI_Sonata_train.csv::Hyundai::Fuzzy_HYUNDAI_Sonata_train.csv::full_trace::1285,0,1,Hyundai,Fuzzy_HYUNDAI_Sonata_train.csv
11,strong_campaign,atk_Hyundai_0-w05,atk_Hyundai_0,Hyundai::Fuzzy_HYUNDAI_Sonata_train.csv::Hyundai::Fuzzy_HYUNDAI_Sonata_train.csv::full_trace::79,0,0,Hyundai,Fuzzy_HYUNDAI_Sonata_train.csv
11,strong_campaign,atk_Hyundai_0-w06,atk_Hyundai_0,Hyundai::Attack_free_HY_Sonata_train.csv::Hyundai::Attack_free_HY_Sonata_train.csv::seg_test::1003,0,0,Hyundai,Attack_free_HY_Sonata_train.csv
11,strong_campaign,atk_Hyundai_0-w07,atk_Hyundai_0,Hyundai::Attack_free_HY_Sonata_train.csv::Hyundai::Attack_free_HY_Sonata_train.csv::seg_test::176,0,0,Hyundai,Attack_free_HY_Sonata_train.csv
11,strong_campaign,atk_Hyundai_0-w08,atk_Hyundai_0,Hyundai::Attack_free_HY_Sonata_train.csv::Hyundai::Attack_free_HY_Sonata_train.csv::seg_test::369,0,0,Hyundai,Attack_free_HY_Sonata_train.csv
11,strong_campaign,atk_Hyundai_0-w09,atk_Hyundai_0,Hyundai::Fuzzy_HYUNDAI_Sonata_train.csv::Hyundai::Fuzzy_HYUNDAI_Sonata_train.csv::full_trace::1571,0,0,Hyundai,Fuzzy_HYUNDAI_Sonata_train.csv
11,strong_campaign,atk_Hyundai_1-w00,atk_Hyundai_1,Hyundai::Fuzzy_HYUNDAI_Sonata_train.csv::Hyundai::Fuzzy_HYUNDAI_Sonata_train.csv::full_trace::1543,0,1,Hyundai,Fuzzy_HYUNDAI_Sonata_train.csv
11,strong_campaign,atk_Hyundai_1-w01,atk_Hyundai_1,Hyundai::Fuzzy_HYUNDAI_Sonata_train.csv::Hyundai::Fuzzy_HYUNDAI_Sonata_train.csv::full_trace::889,0,1,Hyundai,Fuzzy_HYUNDAI_Sonata_train.csv
11,strong_campaign,atk_Hyundai_1-w02,atk_Hyundai_1,Hyundai::Fuzzy_HYUNDAI_Sonata_train.csv::Hyundai::Fuzzy_HYUNDAI_Sonata_train.csv::full_trace::1009,0,1,Hyundai,Fuzzy_HYUNDAI_Sonata_train.csv
11,strong_campaign,atk_Hyundai_1-w03,atk_Hyundai_1,Hyundai::Fuzzy_HYUNDAI_Sonata_train.csv::Hyundai::Fuzzy_HYUNDAI_Sonata_train.csv::full_trace::1351,0,1,Hyundai,Fuzzy_HYUNDAI_Sonata_train.csv
