source,target,similarity,edge_type,cross_vehicle,temporal_edge
EVT-CHE-00000031,EVT-CHE-00000037,0.9999996423721313,behavioural_similarity,False,False
EVT-CHE-00000031,EVT-CHE-00000035,0.9999991059303284,behavioural_similarity,False,False
EVT-CHE-00000032,EVT-CHE-00000034,0.9999999403953552,behavioural_similarity,False,False
EVT-CHE-00000032,EVT-CHE-00000036,0.9999998211860657,behavioural_similarity,False,False
EVT-CHE-00000033,EVT-CHE-00000039,0.9999996423721313,behavioural_similarity,False,False
EVT-CHE-00000033,EVT-CHE-00000040,0.9999993443489075,behavioural_similarity,False,False
EVT-CHE-00000034,EVT-CHE-00000035,0.9999998807907104,behavioural_similarity,False,False
EVT-CHE-00000035,EVT-CHE-00000036,0.9999998807907104,behavioural_similarity,False,False
EVT-CHE-00000035,EVT-CHE-00000037,0.9999996423721313,behavioural_similarity,False,False
EVT-CHE-00000038,EVT-CHE-00000043,1.0,behavioural_similarity,False,False
EVT-CHE-00000035,EVT-CHE-00000038,0.9999998807907104,behavioural_similarity,False,False
EVT-CHE-00000039,EVT-CHE-00000045,0.9999998211860657,behavioural_similarity,False,False
EVT-CHE-00000034,EVT-CHE-00000040,0.9999993443489075,behavioural_similarity,False,False
EVT-CHE-00000032,EVT-CHE-00000041,0.9999997019767761,behavioural_similarity,False,False
EVT-CHE-00000041,EVT-CHE-00000045,0.9999996423721313,behavioural_similarity,False,False
EVT-CHE-00000038,EVT-CHE-00000042,0.999999463558197,behavioural_similarity,False,False
EVT-CHE-00000042,EVT-CHE-00000043,0.9999992251396179,behavioural_similarity,False,False
EVT-CHE-00000035,EVT-CHE-00000043,0.9999998807907104,behavioural_similarity,False,False
EVT-CHE-00000036,EVT-CHE-00000044,0.9999995231628418,behavioural_similarity,False,False
EVT-CHE-00000034,EVT-CHE-00000044,0.9999994039535522,behavioural_similarity,False,False
EVT-CHE-00000032,EVT-CHE-00000045,0.9999998211860657,behavioural_similarity,False,False
EVT-CHE-00000046,EVT-CHE-00000052,1.0,behavioural_similarity,False,False
EVT-CHE-00000046,EVT-CHE-00000048,0.9999999403953552,behavioural_similarity,False,False
EVT-CHE-00000047,EVT-CHE-00000049,0.9999998807907104,behavioural_similarity,False,False
EVT-CHE-00000046,EVT-CHE-00000047,0.9999998211860657,behavioural_similarity,False,False
EVT-CHE-00000048,EVT-CHE-00000050,0.9999998807907104,behavioural_similarity,False,False
EVT-CHE-00000049,EVT-CHE-00000052,0.9999997615814209,behavioural_similarity,False,False
EVT-CHE-00000046,EVT-CHE-00000050,0.9999998807907104,behavioural_similarity,False,False
EVT-CHE-00000046,EVT-CHE-00000051,0.9999998807907104,behavioural_similarity,False,False
EVT-CHE-00000048,EVT-CHE-00000051,0.9999998807907104,behavioural_similarity,False,False
EVT-CHE-00000031,EVT-SUB-00000218,1.0,behavioural_similarity,True,False
EVT-CHE-00000031,EVT-CHE-00000098,0.9999996423721313,behavioural_similarity,True,False
EVT-CHE-00000031,EVT-CHE-00000096,0.9999994039535522,behavioural_similarity,True,False
EVT-CHE-00000031,EVT-CHE-00000156,0.9999992847442627,behavioural_similarity,True,False
EVT-CHE-00000031,EVT-SUB-00000217,0.9999992251396179,behavioural_similarity,True,False
EVT-CHE-00000032,EVT-CHE-00000105,1.0,behavioural_similarity,True,False
EVT-CHE-00000032,EVT-CHE-00000097,0.9999999403953552,behavioural_similarity,True,False
EVT-CHE-00000032,EVT-CHE-00000100,0.9999999403953552,behavioural_similarity,True,False
EVT-CHE-00000032,EVT-CHE-00000102,0.9999999403953552,behavioural_similarity,True,False
EVT-CHE-00000032,EVT-SUB-00000223,0.9999999403953552,behavioural_similarity,True,False
EVT-CHE-00000033,EVT-SUB-00000220,0.9999995231628418,behavioural_similarity,True,False
EVT-CHE-00000033,EVT-SUB-00000211,0.9999995231628418,behavioural_similarity,True,False
EVT-CHE-00000033,EVT-CHE-00000103,0.999999463558197,behavioural_similarity,True,False
EVT-CHE-00000033,EVT-CHE-00000095,0.9999993443489075,behavioural_similarity,True,False
EVT-CHE-00000033,EVT-CHE-00000102,0.9999993443489075,behavioural_similarity,True,False
EVT-CHE-00000034,EVT-SUB-00000223,1.0,behavioural_similarity,True,False
EVT-CHE-00000034,EVT-CHE-00000105,0.9999999403953552,behavioural_similarity,True,False
EVT-CHE-00000034,EVT-CHE-00000155,0.9999999403953552,behavioural_similarity,True,False
EVT-CHE-00000034,EVT-CHE-00000151,0.9999999403953552,behavioural_similarity,True,False
EVT-CHE-00000034,EVT-CHE-00000163,0.9999999403953552,behavioural_similarity,True,False
EVT-CHE-00000035,EVT-SUB-00000223,1.0,behavioural_similarity,True,False
EVT-CHE-00000035,EVT-CHE-00000156,0.9999998807907104,behavioural_similarity,True,False
