event_id,window_id,vehicle_id,vehicle_model,source_file,attack_type,anomaly_score,evidence_level,local_alert,weak_signal,is_attack,gt_campaign_id,attack_family,frame_count,message_rate,burstiness,mean_inter_arrival_time,std_inter_arrival_time,can_id_entropy,most_common_can_id_ratio,payload_entropy,scenario,seed
veh_00-w00,0,veh_00,veh_00,synthetic/veh_00.csv,independent_0,0.8973796693136971,strong_local_anomaly,1,0,1,0,independent_0,100.0,1.815321905375695,0.5324250817740993,0.010893884352310125,-0.03736012918721671,4.209994986036416,0.3560641021228401,5.007263558310328,unrelated_incidents,101
veh_00-w01,1,veh_00,veh_00,synthetic/veh_00.csv,independent_0,0.8958897973871714,strong_local_anomaly,1,0,1,0,independent_0,100.0,1.8204160843702493,0.5638589956798944,-0.005940539801282859,0.003958756714990041,4.183945873540433,0.3197307730439417,5.049140134251601,unrelated_incidents,101
veh_00-w02,2,veh_00,veh_00,synthetic/veh_00.csv,independent_0,0.891583486714107,strong_local_anomaly,1,0,1,0,independent_0,100.0,1.8014039001449444,0.564595149436457,-0.01438092400619966,0.006823554749182687,4.22134269028881,0.30925829285324247,4.981675335455771,unrelated_incidents,101
veh_00-w03,3,veh_00,veh_00,synthetic/veh_00.csv,independent_0,0.927632768990029,strong_local_anomaly,1,0,1,0,independent_0,100.0,1.8134478709787571,0.5031721056146571,0.020142833568591985,0.03536869610121589,4.182599616051238,0.37566754822994863,4.957316954917582,unrelated_incidents,101
veh_00-w04,4,veh_00,veh_00,synthetic/veh_00.csv,independent_0,0.8897777382017162,strong_local_anomaly,1,0,1,0,independent_0,100.0,1.7651032775111775,0.511898288129176,0.006946456858530797,0.06350271364763514,4.1941939699593025,0.3234898067600044,5.019110303298063,unrelated_incidents,101
veh_00-w05,5,veh_00,veh_00,synthetic/veh_00.csv,independent_0,0.8673548278669679,strong_local_anomaly,1,0,1,0,independent_0,100.0,1.834084492421464,0.5031063309231649,0.050898260185064215,0.0075855785895656965,4.217378363760901,0.3010691866303521,5.01466254720932,unrelated_incidents,101
veh_00-w06,6,veh_00,veh_00,synthetic/veh_00.csv,independent_0,0.8623913673960387,strong_local_anomaly,1,0,1,0,independent_0,100.0,1.7883171799490847,0.570321506038322,0.006788927580679297,-0.020141941470663113,4.184321183435737,0.37003155408647576,5.010419406489076,unrelated_incidents,101
veh_00-w07,7,veh_00,veh_00,synthetic/veh_00.csv,independent_0,0.9040769722588696,strong_local_anomaly,1,0,1,0,independent_0,100.0,1.804404901315143,0.5648786179791432,-0.005165878935192329,0.018645472954349915,4.23780663765045,0.36892176435150176,4.995336473308154,unrelated_incidents,101
veh_00-w08,8,veh_00,veh_00,synthetic/veh_00.csv,independent_0,0.8690492980860937,strong_local_anomaly,1,0,1,0,independent_0,100.0,1.8160622803626656,0.5856164612175767,0.01699122716138113,0.011250364505315288,4.1613619460764975,0.33002118019891374,5.001123452199713,unrelated_incidents,101
veh_00-w09,9,veh_00,veh_00,synthetic/veh_00.csv,independent_0,0.8685328597025802,strong_local_anomaly,1,0,1,0,independent_0,100.0,1.7855707780420942,0.536605744642734,0.02845719893894344,-0.019436761171105578,4.177964193328887,0.311929761453343,5.011119873819577,unrelated_incidents,101
