event_id,window_id,vehicle_id,vehicle_model,source_file,attack_type,anomaly_score,evidence_level,local_alert,weak_signal,is_attack,gt_campaign_id,attack_family,frame_count,message_rate,burstiness,mean_inter_arrival_time,std_inter_arrival_time,can_id_entropy,most_common_can_id_ratio,payload_entropy,scenario,seed
veh_00-w00,0,veh_00,veh_00,synthetic/veh_00.csv,coordinated_dos,0.8997637761839928,strong_local_anomaly,1,0,1,0,coordinated_dos,100.0,2.4758180008568926,0.738067500881357,0.04630858519077634,0.011318757585066432,2.0045804659689437,0.5573351797850482,4.515835925578906,strong_campaign,101
veh_00-w01,1,veh_00,veh_00,synthetic/veh_00.csv,coordinated_dos,0.8702839486652784,strong_local_anomaly,1,0,1,0,coordinated_dos,100.0,2.5022148922178613,0.754036945823282,0.014958955514783696,0.00954161179969828,2.000755817264761,0.5469796310644078,4.5142929182495335,strong_campaign,101
veh_00-w02,2,veh_00,veh_00,synthetic/veh_00.csv,coordinated_dos,0.9077393573935378,strong_local_anomaly,1,0,1,0,coordinated_dos,100.0,2.5331780229492624,0.7640750916895922,0.01788525244385246,0.025599694450676794,1.9829110686611793,0.5615966330094306,4.5269335349675375,strong_campaign,101
veh_00-w03,3,veh_00,veh_00,synthetic/veh_00.csv,coordinated_dos,0.8821585196000493,strong_local_anomaly,1,0,1,0,coordinated_dos,100.0,2.499904982455968,0.764877499050785,0.005112087798426973,0.01745826257194021,1.9988549761722902,0.5434088544879935,4.47902406403176,strong_campaign,101
veh_00-w04,4,veh_00,veh_00,synthetic/veh_00.csv,coordinated_dos,0.9028971553181988,strong_local_anomaly,1,0,1,0,coordinated_dos,100.0,2.522278341484638,0.7559149731731724,0.001419599987924315,-0.007989887276556295,1.9983551973977205,0.5549662733456316,4.504926990431638,strong_campaign,101
veh_00-w05,5,veh_00,veh_00,synthetic/veh_00.csv,coordinated_dos,0.892755889660573,strong_local_anomaly,1,0,1,0,coordinated_dos,100.0,2.484722511734868,0.7447080244409586,0.002269853490671777,-0.036065793481291075,2.0019321930361023,0.5735695827131694,4.49573555963092,strong_campaign,101
veh_00-w06,6,veh_00,veh_00,synthetic/veh_00.csv,coordinated_dos,0.9025347663790733,strong_local_anomaly,1,0,1,0,coordinated_dos,100.0,2.4970645376360556,0.7525818244813618,-0.0035918915004975087,0.009499091396037657,2.0243288775268966,0.5545981432739667,4.525216537669426,strong_campaign,101
veh_00-w07,7,veh_00,veh_00,synthetic/veh_00.csv,coordinated_dos,0.8856372838026204,strong_local_anomaly,1,0,1,0,coordinated_dos,100.0,2.527514740740859,0.749352991958772,-0.004666834095020356,0.0033827598817503645,2.0146934436363844,0.5486256573057283,4.54538787049734,strong_campaign,101
veh_00-w08,8,veh_00,veh_00,synthetic/veh_00.csv,coordinated_dos,0.909104745191816,strong_local_anomaly,1,0,1,0,coordinated_dos,100.0,2.521130495288339,0.7261215808291859,0.008933535181701775,0.04009915259523319,2.005983475094792,0.5647589914547149,4.509844413704041,strong_campaign,101
veh_00-w09,9,veh_00,veh_00,synthetic/veh_00.csv,coordinated_dos,0.9161603819180347,strong_local_anomaly,1,0,1,0,coordinated_dos,100.0,2.4890530374335063,0.7499096025131696,0.025293156154259082,0.00454324024078937,2.0043684384565266,0.5676036366579454,4.5018957575497796,strong_campaign,101
